Data;Partia_miesniowa;Cwiczenie;Nr_serii;Powtorzenia;Ciezar_kg;Szacowany_1RM
﻿2026-05-07;Klatka;Bench Press (Barbell) Hipertrofia;2;8;90.0;114.0
﻿2026-05-07;Plecy;Lat Pulldown (Cable);0;10;75.0;100.0
﻿2026-05-07;Plecy;Lat Pulldown (Cable);1;10;82.0;109.3
﻿2026-05-07;Plecy;Lat Pulldown (Cable);2;8;89.0;112.7
﻿2026-05-07;Plecy;Lat Pulldown (Cable);3;6;92.5;111.0
﻿2026-05-07;Klatka;Incline Chest Press (Machine);0;12;80.0;112.0
﻿2026-05-07;Klatka;Incline Chest Press (Machine);1;8;100.0;126.7
﻿2026-05-07;Klatka;Incline Chest Press (Machine);2;6;110.0;132.0
﻿2026-05-07;Klatka;Incline Chest Press (Machine);3;7;110.0;135.7
﻿2026-05-07;Plecy;Iso-Lateral High Row (Machine);0;12;70.0;98.0
﻿2026-05-07;Plecy;Iso-Lateral High Row (Machine);1;10;80.0;106.7
﻿2026-05-07;Plecy;Iso-Lateral High Row (Machine);2;8;100.0;126.7
﻿2026-05-07;Klatka;Butterfly (Pec Deck);0;12;61.0;85.4
﻿2026-05-07;Klatka;Butterfly (Pec Deck);1;12;75.0;105.0
﻿2026-05-07;Klatka;Butterfly (Pec Deck);2;10;96.0;128.0
﻿2026-05-07;Plecy;Pullover (Machine);0;12;70.0;98.0
﻿2026-05-07;Plecy;Pullover (Machine);1;10;80.0;106.7
﻿2026-05-07;Plecy;Pullover (Machine);2;9;90.0;117.0
﻿2026-05-06;Cardio;Treadmill;0;0;0.0;0.0
﻿2026-05-05;Rozgrzewka;Warm Up;0;0;0.0;0.0
﻿2026-05-05;Nogi;Squat (Barbell);0;5;140.0;163.3
﻿2026-05-05;Nogi;Squat (Barbell);1;5;140.0;163.3
﻿2026-05-05;Nogi;Squat (Barbell);2;5;140.0;163.3
﻿2026-05-05;Nogi;Romanian Deadlift (Barbell);0;8;120.0;152.0
﻿2026-05-05;Nogi;Romanian Deadlift (Barbell);1;8;130.0;164.7
﻿2026-05-05;Nogi;Romanian Deadlift (Barbell);2;6;140.0;168.0
﻿2026-05-05;Nogi;Hack Squat (Machine);0;8;130.0;164.7
﻿2026-05-05;Nogi;Hack Squat (Machine);1;8;130.0;164.7
﻿2026-05-05;Nogi;Hack Squat (Machine);2;8;130.0;164.7
﻿2026-05-05;Nogi;Leg Extension (Machine);0;10;70.0;93.3
﻿2026-05-05;Nogi;Leg Extension (Machine);1;10;70.0;93.3
﻿2026-05-05;Nogi;Leg Extension (Machine);2;10;70.0;93.3
﻿2026-05-05;Nogi;Lying Leg Curl (Machine);0;10;45.0;60.0
﻿2026-05-05;Nogi;Lying Leg Curl (Machine);1;10;45.0;60.0
﻿2026-05-05;Nogi;Lying Leg Curl (Machine);2;9;45.0;58.5
﻿2026-05-05;Nogi;Hip Adduction (Machine);0;10;90.0;120.0
﻿2026-05-05;Nogi;Hip Adduction (Machine);1;8;100.0;126.7
﻿2026-05-05;Brzuch;Cable Crunch;0;12;45.0;63.0
﻿2026-05-05;Brzuch;Cable Crunch;1;10;47.5;63.3
﻿2026-05-05;Brzuch;Cable Crunch;2;10;50.0;66.7
﻿2026-05-05;Brzuch;Cable Core Pallof Press;0;8;15.0;19.0
﻿2026-05-05;Brzuch;Cable Core Pallof Press;1;6;17.5;21.0
﻿2026-05-04;Klatka;Bench Press (Barbell);0;6;95.0;114.0
﻿2026-05-04;Klatka;Bench Press (Barbell);1;6;95.0;114.0
﻿2026-05-04;Klatka;Bench Press (Barbell);2;6;95.0;114.0
﻿2026-05-04;Klatka;Bench Press (Barbell);3;6;95.0;114.0
﻿2026-05-04;Plecy;Pull Up;0;5;0.0;0.0
﻿2026-05-04;Plecy;Pull Up;1;6;0.0;0.0
﻿2026-05-04;Plecy;Pull Up;2;6;0.0;0.0
﻿2026-05-04;Plecy;Pull Up;3;5;0.0;0.0
﻿2026-05-04;Klatka;Incline Bench Press (Dumbbell);0;6;45.0;54.0
﻿2026-05-04;Klatka;Incline Bench Press (Dumbbell);1;6;45.0;54.0
﻿2026-05-04;Klatka;Incline Bench Press (Dumbbell);2;6;45.0;54.0
﻿2026-05-04;Plecy;Dumbbell Row;0;8;45.0;57.0
﻿2026-05-04;Plecy;Dumbbell Row;1;9;45.0;58.5
﻿2026-05-04;Plecy;Dumbbell Row;2;10;45.0;60.0
﻿2026-05-04;Klatka;Low Cable Fly Crossovers;0;12;10.0;14.0
﻿2026-05-04;Klatka;Low Cable Fly Crossovers;1;10;12.5;16.7
﻿2026-05-04;Klatka;Low Cable Fly Crossovers;2;10;13.75;18.3
﻿2026-05-04;Plecy;Single Arm Cable Row;0;10;40.0;53.3
﻿2026-05-04;Plecy;Single Arm Cable Row;1;8;42.5;53.8
﻿2026-05-04;Plecy;Single Arm Cable Row;2;8;45.0;57.0
﻿2026-05-04;Biceps;Bicep Curl (Cable);0;10;25.0;33.3
﻿2026-05-04;Biceps;Bicep Curl (Cable);1;9;27.5;35.8
﻿2026-05-04;Triceps;Triceps Rope Pushdown;0;10;20.0;26.7
﻿2026-05-04;Triceps;Triceps Rope Pushdown;1;12;22.5;31.5
﻿2026-05-04;Barki;Lateral Raise (Machine);0;8;55.0;69.7
﻿2026-05-04;Barki;Lateral Raise (Machine);1;7;57.5;70.9
﻿2026-05-04;Barki;Rear Delt Reverse Fly (Machine);0;8;20.0;25.3
﻿2026-05-04;Barki;Rear Delt Reverse Fly (Machine);1;10;20.0;26.7
